Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1939-1940,M,M,M,M,M,M,3.9,8.3,1.5,1.2,0,0,M
1940-1941,0,0,0,0,1.5,0.9,9.5,2.5,15.6,0,0,0,30
1941-1942,0,0,0,0,0,0.1,3,T,0.5,0,0,0,3.6
1942-1943,0,0,0,0,T,2.6,6.4,1.7,4.7,T,0,0,15.4
1943-1944,0,0,0,0,T,T,5.5,10.1,4.6,3.8,0,0,24
1944-1945,0,0,0,T,T,7.1,14.3,9.2,T,T,0,0,30.6
1945-1946,0,0,0,0,3.1,17.3,3.4,8.2,T,0,0,0,32
1946-1947,0,0,0,0,0,2.5,5,21.5,6.7,T,0,0,35.7
1947-1948,0,0,0,0,T,26.2,18.3,14.9,4.2,0,0,0,63.6
1948-1949,0,0,0,0,T,22.3,7.5,11.9,5,T,0,0,46.7
1949-1950,0,0,0,0,0.4,1.3,0.4,12,0.9,0.7,0,0,15.7
1950-1951,0,0,0,0,0.1,5,5.4,2.6,1.5,0,0,0,14.6
1951-1952,T,0,0,0,T,3.6,2.8,3.7,6.6,T,0,0,16.7
1952-1953,0,0,0,T,1.7,4.2,4.9,0.9,1.8,T,0,0,13.5
1953-1954,0,0,0,0,4,T,13.1,0.2,T,T,0,0,17.3
1954-1955,0,0,0,0,0,0.2,2.4,6,2.7,0,0,0,11.3
1955-1956,0,0,0,0,0.6,2.6,0.9,2.4,18.2,6.4,0,0,31.1
1956-1957,0,0,0,0,T,1.2,8.1,5.7,1.5,5.4,0,0,21.9
1957-1958,0,0,0,0,T,11,8.8,12.3,18.9,0.5,0,0,51.5
1958-1959,0,0,0,0,T,3,2.2,0.8,10.8,1.3,0,0,18.1
1959-1960,0,0,0,0,0.2,8.6,2.2,3.9,18.8,T,0,0,33.7
1960-1961,0,0,0,T,0,15.3,15.5,21.3,3.8,0.6,T,0,56.5
1961-1962,0,0,0,0,0.4,5.2,0.4,11.3,0.7,T,0,0,18
1962-1963,0,0,0,1.2,1.1,3.5,6.9,3,2.4,T,0,0,18.1
1963-1964,0,0,0,0,T,11.6,10.2,8.8,3.2,T,0,0,33.8
1964-1965,0,0,0,0,0,3.1,11.9,2.3,3.1,0.7,0,0,21.1
1965-1966,0,0,0,T,T,T,9.3,9.8,T,T,0,0,19.1
1966-1967,0,0,0,0,0,7.6,0.9,20,14.9,T,0,0,43.4
1967-1968,0,0,0,0,2.2,3.4,5.2,1.5,2.2,0,0,0,14.5
1968-1969,0,0,0,0,T,4.9,1.4,18.5,4,0,0,0,28.8
1969-1970,0,0,0,0,T,8.1,7.4,4.2,4.6,T,0,0,24.3
1970-1971,0,0,0,0,0,1.9,10.4,0.3,2.3,1,0,0,15.9
1971-1972,0,0,0,0,T,T,2.2,17.2,2.7,0.1,0,0,22.2
1972-1973,0,0,0,T,T,T,0.9,1,T,T,0,0,1.9
1973-1974,0,0,0,0,0,2.2,6.4,7.8,2.2,0.3,0,0,18.9
1974-1975,0,0,0,0,T,0.4,1.8,9.1,0.4,T,0,0,11.7
1975-1976,0,0,0,0,T,3,6.1,4.8,2.8,0,0,0,16.7
1976-1977,0,0,0,0,T,4.9,10.9,5.8,0.4,T,T,0,22
1977-1978,0,0,0,0,T,0.3,16.6,18.7,7.9,0,0,0,43.5
1978-1979,0,0,0,0,2.3,0.2,6,17.4,T,T,0,0,25.9
1979-1980,0,0,0,T,0,3.2,2.3,1.6,3.2,0,0,0,10.3
1980-1981,0,0,0,0,0.2,1.8,7.7,T,6.4,0,0,0,16.1
1981-1982,0,0,0,0,T,3.6,20.3,0.4,0.3,8.2,0,0,32.8
1982-1983,0,0,0,0,0,2.1,1.7,26.4,T,T,0,0,30.2
1983-1984,0,0,0,0,T,1.6,9.8,T,12.7,0,0,0,24.1
1984-1985,0,0,0,0,T,5.5,8.3,8.8,0.3,T,0,0,22.9
1985-1986,0,0,0,0,0.4,0.9,2.8,14.3,T,T,0,0,18.4
1986-1987,0,0,0,0,T,T,16.3,6,0.9,0,0,0,23.2
